sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,3,4,12,12,-1,1,filler_product,neutral,NA,neutral,SOA_170,0,1964,2,small,ok
sj00,31,male,5,7,35,35,-1,0,product,neutral,NA,neutral,SOA_170,0,NA,2,large,ok
sj00,31,male,3,7,21,21,19,0,product,unrelated,inconsistent,unrel_inc,SOA_120,1,739,2,small,ok
sj00,31,male,6,8,42,48,48,0,neighbour,product,NA,NA,SOA_170,0,1203,2,large,ok
sj00,31,male,6,3,18,18,-1,0,product,neutral,NA,neutral,SOA_070,1,1495,2,small,ok
sj00,31,male,7,5,35,35,30,0,product,neighbour,consistent,neigh_con,SOA_070,1,697,2,large,ok
sj00,31,male,4,7,28,28,32,0,product,neighbour,inconsistent,neigh_inc,SOA_170,1,1260,2,small,ok
sj00,31,male,3,7,21,21,24,0,product,neighbour,consistent,neigh_con,SOA_170,1,1204,2,small,ok
sj00,31,male,6,3,15,18,18,0,neighbour,product,NA,NA,SOA_070,1,856,2,small,ok
sj00,31,male,7,4,28,28,-1,0,product,neutral,NA,neutral,SOA_120,1,810,2,small,ok
sj00,31,male,6,6,41,36,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,693,2,large,ok
sj00,31,male,5,5,22,25,25,0,unrelated,product,NA,NA,SOA_170,1,694,2,small,ok
sj00,31,male,5,7,41,35,35,0,unrelated,product,NA,NA,SOA_070,1,1241,2,large,ok
sj00,31,male,7,4,28,28,-1,0,product,neutral,NA,neutral,SOA_070,0,1637,2,small,ok
sj00,31,male,4,4,23,16,16,0,unrelated,product,NA,NA,SOA_170,1,1915,2,small,ok
sj00,31,male,7,7,42,49,-1,0,neighbour,neutral,NA,neutral,SOA_120,1,633,2,large,ok
sj00,31,male,6,9,63,54,-1,1,filler_neighbour,neutral,NA,neutral,SOA_170,0,1160,2,large,ok
sj00,31,male,7,3,21,21,23,0,product,unrelated,consistent,unrel_con,SOA_120,0,1060,2,small,ok
sj00,31,male,8,4,28,32,32,0,neighbour,product,NA,NA,SOA_070,0,1732,2,large,ok
sj00,31,male,7,3,19,21,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,726,2,small,ok
sj00,31,male,4,4,16,16,13,0,product,unrelated,consistent,unrel_con,SOA_120,1,714,2,small,ok
sj00,31,male,3,6,18,18,17,0,product,unrelated,consistent,unrel_con,SOA_120,0,761,2,small,ok
sj00,31,male,5,4,24,20,20,0,neighbour,product,NA,NA,SOA_120,1,708,2,small,ok
sj00,31,male,8,4,36,32,-1,0,neighbour,neutral,NA,neutral,SOA_170,0,1405,2,large,ok
sj00,31,male,4,8,32,32,-1,0,product,neutral,NA,neutral,SOA_170,0,1257,2,large,ok
sj00,31,male,6,6,36,36,30,0,product,neighbour,consistent,neigh_con,SOA_070,1,635,2,large,ok
sj00,31,male,4,8,29,32,32,0,unrelated,product,NA,NA,SOA_070,1,873,2,large,ok
