sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj02,18,male,3,5,11,15,20,0,not_product,number,SOA_170,0,759,1,small,ok
sj02,18,male,5,5,25,25,-1,0,product,letter,SOA_170,0,628,1,small,ok
sj02,18,male,6,6,36,36,-1,0,product,letter,SOA_050,1,556,1,large,ok
sj02,18,male,6,6,36,36,41,0,product,number,SOA_170,1,570,1,large,ok
sj02,18,male,6,8,48,48,54,0,product,number,SOA_050,1,500,1,large,ok
sj02,18,male,5,7,40,35,-1,0,not_product,letter,SOA_170,0,644,1,large,ok
sj02,18,male,5,8,40,40,48,0,product,number,SOA_220,0,472,1,large,ok
sj02,18,male,3,5,10,15,-1,0,not_product,letter,SOA_220,1,758,1,small,ok
sj02,18,male,5,6,24,30,-1,0,not_product,letter,SOA_170,0,684,1,small,ok
sj02,18,male,5,6,30,30,-1,0,product,letter,SOA_170,0,857,1,small,ok
sj02,18,male,4,5,20,20,-1,0,product,letter,SOA_220,1,747,1,small,ok
sj02,18,male,5,8,48,40,-1,0,not_product,letter,SOA_050,1,747,1,large,ok
sj02,18,male,4,8,32,32,-1,0,product,letter,SOA_170,0,539,1,large,ok
sj02,18,male,4,7,28,28,34,0,product,number,SOA_170,0,739,1,small,ok
sj02,18,male,4,7,26,28,-1,0,not_product,letter,SOA_170,1,643,1,small,ok
sj02,18,male,5,8,48,40,-1,0,not_product,letter,SOA_170,1,760,1,large,ok
sj02,18,male,4,8,32,32,-1,0,product,letter,SOA_220,1,676,1,large,ok
sj02,18,male,4,7,28,28,32,0,product,number,SOA_220,0,826,1,small,ok
sj02,18,male,4,7,34,28,26,0,not_product,number,SOA_050,1,490,1,small,ok
sj02,18,male,4,4,16,16,-1,0,product,letter,SOA_050,1,836,1,small,ok
sj02,18,male,3,7,18,21,24,0,not_product,number,SOA_050,0,666,1,small,ok
sj02,18,male,5,7,35,35,-1,0,product,letter,SOA_170,1,731,1,large,ok
sj02,18,male,3,6,17,18,-1,0,not_product,letter,SOA_220,1,677,1,small,ok
sj02,18,male,4,5,20,20,-1,0,product,letter,SOA_170,1,571,1,small,ok
sj02,18,male,3,6,15,18,23,0,not_product,number,SOA_220,1,597,1,small,ok
sj02,18,male,5,5,25,25,34,0,product,number,SOA_170,0,875,1,small,ok
sj02,18,male,5,7,31,35,41,0,not_product,number,SOA_050,0,666,1,large,ok
sj02,18,male,5,7,35,35,41,0,product,number,SOA_050,0,778,1,large,ok
sj02,18,male,6,6,30,36,41,0,not_product,number,SOA_220,0,956,1,large,ok
sj02,18,male,6,7,42,42,47,0,product,number,SOA_050,1,778,1,large,ok
sj02,18,male,6,7,42,42,-1,0,product,letter,SOA_050,1,556,1,large,ok
sj02,18,male,6,7,42,42,48,0,product,number,SOA_220,0,714,1,large,ok
sj02,18,male,5,8,40,40,47,0,product,number,SOA_170,1,664,1,large,ok
sj02,18,male,5,7,30,35,-1,0,not_product,letter,SOA_050,1,617,1,large,ok
sj02,18,male,4,8,28,32,-1,0,not_product,letter,SOA_050,1,539,1,large,ok
sj02,18,male,3,6,21,18,23,0,not_product,number,SOA_050,0,526,1,small,ok
sj02,18,male,5,5,34,25,22,0,not_product,number,SOA_050,1,489,1,small,ok
sj02,18,male,3,7,23,21,-1,0,not_product,letter,SOA_220,1,580,1,small,ok
sj02,18,male,5,6,38,30,22,0,not_product,number,SOA_170,1,675,1,small,ok
sj02,18,male,6,7,48,42,47,0,not_product,number,SOA_170,0,650,1,large,ok
sj02,18,male,3,7,18,21,-1,0,not_product,letter,SOA_170,1,564,1,small,ok
sj02,18,male,5,6,30,30,-1,0,product,letter,SOA_220,1,536,1,small,ok
sj02,18,male,4,7,28,28,-1,0,product,letter,SOA_220,1,570,1,small,ok
sj02,18,male,5,5,34,25,-1,0,not_product,letter,SOA_220,1,564,1,small,ok
sj02,18,male,5,6,24,30,36,0,not_product,number,SOA_220,1,697,1,small,ok
sj02,18,male,3,5,23,15,-1,0,not_product,letter,SOA_050,1,587,1,small,ok
sj02,18,male,3,6,18,18,21,0,product,number,SOA_170,1,587,1,small,ok
sj02,18,male,6,6,30,36,-1,0,not_product,letter,SOA_170,1,635,1,large,ok
sj02,18,male,5,8,40,40,-1,0,product,letter,SOA_050,0,841,1,large,ok
sj02,18,male,6,8,48,48,-1,0,product,letter,SOA_170,1,645,1,large,ok
sj02,18,male,4,8,36,32,37,0,not_product,number,SOA_050,0,586,1,large,ok
sj02,18,male,4,5,20,20,17,0,product,number,SOA_220,0,570,1,small,ok
sj02,18,male,3,5,15,15,11,0,product,number,SOA_220,1,804,1,small,ok
sj02,18,male,4,5,20,20,23,0,product,number,SOA_170,0,744,1,small,ok
sj02,18,male,4,8,28,32,29,0,not_product,number,SOA_220,0,761,1,large,ok
sj02,18,male,5,6,30,30,-1,0,product,letter,SOA_050,1,660,1,small,ok
sj02,18,male,5,8,33,40,48,0,not_product,number,SOA_220,0,965,1,large,ok
sj02,18,male,4,8,29,32,37,0,not_product,number,SOA_170,1,761,1,large,ok
sj02,18,male,6,8,48,48,53,0,product,number,SOA_220,0,677,1,large,ok
sj02,18,male,5,8,47,40,32,0,not_product,number,SOA_050,0,891,1,large,ok
sj02,18,male,3,5,15,15,-1,0,product,letter,SOA_220,0,965,1,small,ok
sj02,18,male,5,5,20,25,-1,0,not_product,letter,SOA_170,1,1145,1,small,ok
sj02,18,male,6,8,43,48,-1,0,not_product,letter,SOA_220,0,842,1,large,ok
sj02,18,male,3,7,21,21,24,0,product,number,SOA_050,1,1254,1,small,ok
sj02,18,male,4,8,32,32,29,0,product,number,SOA_220,0,889,1,large,ok
sj02,18,male,5,7,35,35,41,0,product,number,SOA_220,0,860,1,large,ok
sj02,18,male,3,6,18,18,-1,0,product,letter,SOA_220,0,645,1,small,ok
sj02,18,male,3,7,21,21,-1,0,product,letter,SOA_050,1,681,1,small,ok
sj02,18,male,7,7,46,49,52,0,not_product,number,SOA_220,1,821,1,large,ok
sj02,18,male,6,7,42,42,-1,0,product,letter,SOA_170,1,725,1,large,ok
sj02,18,male,4,7,28,28,-1,0,product,letter,SOA_170,1,953,1,small,ok
sj02,18,male,5,8,32,40,47,0,not_product,number,SOA_170,0,775,1,large,ok
sj02,18,male,5,8,40,40,-1,0,product,letter,SOA_170,1,1098,1,large,ok
sj02,18,male,7,7,49,49,-1,0,product,letter,SOA_220,0,636,1,large,ok
sj02,18,male,4,4,16,16,-1,0,product,letter,SOA_170,1,922,1,small,ok
sj02,18,male,7,7,42,49,52,0,not_product,number,SOA_050,1,775,1,large,ok
sj02,18,male,5,8,40,40,32,0,product,number,SOA_050,1,568,1,large,ok
sj02,18,male,6,7,42,42,-1,0,product,letter,SOA_220,1,876,1,large,ok
sj02,18,male,6,8,43,48,-1,0,not_product,letter,SOA_170,1,696,2,large,ok
sj02,18,male,3,6,18,18,23,0,product,number,SOA_220,0,971,2,small,ok
sj02,18,male,3,6,18,18,-1,0,product,letter,SOA_170,1,613,2,small,ok
sj02,18,male,6,7,36,42,48,0,not_product,number,SOA_220,1,887,2,large,ok
sj02,18,male,3,7,21,21,-1,0,product,letter,SOA_170,1,651,2,small,ok
sj02,18,male,3,7,19,21,23,0,not_product,number,SOA_170,0,613,2,small,ok
sj02,18,male,4,4,16,16,13,0,product,number,SOA_170,1,759,2,small,ok
sj02,18,male,6,6,30,36,-1,0,not_product,letter,SOA_050,1,596,2,large,ok
sj02,18,male,6,6,42,36,-1,0,not_product,letter,SOA_220,1,618,2,large,ok
sj02,18,male,4,5,16,20,23,0,not_product,number,SOA_170,1,684,2,small,ok
sj02,18,male,4,7,28,28,26,0,product,number,SOA_050,0,952,2,small,ok
sj02,18,male,6,7,42,42,47,0,product,number,SOA_170,1,935,2,large,ok
